Time,Algorithm,NID,# Interests, #Data Packets, #Reinforcements, Task1, #Executions, Task2, #Executions, Task3,#Executions,,,,,
Fri Jan 01 12:30:41 CST 2010,DIRL,2,1032,593,146,task-Sleep,2204,task-Diffuse,1395,0,15905.5,,,,,
Fri Jan 01 12:30:41 CST 2010,DIRL,3,974,812,241,task-Sleep,2051,task-Diffuse,1548,0,12070.6,,,,,
Fri Jan 01 12:30:41 CST 2010,DIRL,4,874,1049,297,task-Sleep,2014,task-Diffuse,1585,0,10640.7,,,,,
Fri Jan 01 12:30:42 CST 2010,DIRL,5,300,185,53,task-10-0,718,task-Sleep,2347,task-Diffuse,534,1.871509223,null,,,
Fri Jan 01 12:30:42 CST 2010,DIRL,6,450,349,62,task-Sleep,2456,task-Diffuse,1143,3.452884462,null,,,,,
Fri Jan 01 12:30:42 CST 2010,DIRL,7,40,216,24,task-10-0,287,task-Sleep,2678,task-Diffuse,634,7.255566309,null,,,
Fri Jan 01 12:30:42 CST 2010,DIRL,8,442,217,105,task-10-0,1084,task-Sleep,1966,task-Diffuse,549,0,11801.1,,,
Fri Jan 01 12:30:42 CST 2010,DIRL,9,874,820,228,task-Sleep,1983,task-Diffuse,1616,0,10486.2,,,,,
Fri Jan 01 12:30:43 CST 2010,DIRL,10,1075,388,74,task-Sleep,2368,task-Diffuse,1231,1.207316734,null,,,,,
Fri Jan 01 12:30:43 CST 2010,DIRL,11,657,637,175,task-Sleep,2225,task-Diffuse,1374,0,17756.4,,,,,
Fri Jan 01 12:30:43 CST 2010,DIRL,12,300,244,81,task-10-0,1067,task-Sleep,2002,task-Diffuse,530,0,12946.5,,,
Fri Jan 01 12:30:43 CST 2010,DIRL,13,874,729,211,task-Sleep,2002,task-Diffuse,1597,0,10811.6,,,,,
Fri Jan 01 12:30:44 CST 2010,DIRL,14,1164,377,107,task-Sleep,2295,task-Diffuse,1304,0,17706.7,,,,,
Fri Jan 01 12:30:44 CST 2010,DIRL,15,1115,446,116,task-Sleep,2204,task-Diffuse,1395,0,15496.8,,,,,
Fri Jan 01 12:30:44 CST 2010,DIRL,16,991,520,89,task-Sleep,2224,task-Diffuse,1375,0,16706.9,,,,,
